network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2a06:7180::/29,2921044,2921044,,0,0
2a06:71c0::/29,2921044,2921044,,0,0
2a06:7200::/29,2921044,2921044,,0,0
2a06:7240::/47,6255148,,,0,0
2a06:7240:2::/48,6255148,,,0,0
2a06:7240:3::/48,2635167,,,0,0
2a06:7240:4::/48,6255148,,,0,0
2a06:7240:5::/48,2750405,,,0,0
2a06:7240:6::/48,2750405,,,0,0
2a06:7240:7::/48,6255148,,,0,0
2a06:7240:8::/45,6255148,,,0,0
2a06:7240:10::/44,6255148,,,0,0
2a06:7240:20::/43,6255148,,,0,0
2a06:7240:40::/42,6255148,,,0,0
2a06:7240:80::/41,6255148,,,0,0
2a06:7240:100::/40,6255148,,,0,0
2a06:7240:200::/39,6255148,,,0,0
2a06:7240:400::/38,6255148,,,0,0
2a06:7240:800::/37,6255148,,,0,0
2a06:7240:1000::/36,6255148,,,0,0
2a06:7240:2000::/35,6255148,,,0,0
2a06:7240:4000::/34,6255148,,,0,0
2a06:7240:8000::/33,6255148,,,0,0
2a06:7241::/48,2782113,,,0,0
2a06:7241:1::/48,6255148,,,0,0
2a06:7241:2::/47,6255148,,,0,0
2a06:7241:4::/46,6255148,,,0,0
2a06:7241:8::/45,6255148,,,0,0
2a06:7241:10::/44,6255148,,,0,0
2a06:7241:20::/43,6255148,,,0,0
2a06:7241:40::/42,6255148,,,0,0
2a06:7241:80::/41,6255148,,,0,0
2a06:7241:100::/40,6255148,,,0,0
2a06:7241:200::/39,6255148,,,0,0
2a06:7241:400::/38,6255148,,,0,0
2a06:7241:800::/37,6255148,,,0,0
2a06:7241:1000::/36,6255148,,,0,0
2a06:7241:2000::/35,6255148,,,0,0
2a06:7241:4000::/34,6255148,,,0,0
2a06:7241:8000::/33,6255148,,,0,0
2a06:7242::/32,6255148,,,0,0
2a06:7243::/43,298795,,,0,0
2a06:7243:20::/43,6255148,,,0,0
2a06:7243:40::/42,6255148,,,0,0
2a06:7243:80::/41,6255148,,,0,0
2a06:7243:100::/40,6255148,,,0,0
2a06:7243:200::/39,6255148,,,0,0
2a06:7243:400::/38,6255148,,,0,0
2a06:7243:800::/37,6255148,,,0,0
2a06:7243:1000::/36,6255148,,,0,0
2a06:7243:2000::/35,6255148,,,0,0
2a06:7243:4000::/34,6255148,,,0,0
2a06:7243:8000::/33,6255148,,,0,0
2a06:7244::/30,6255148,,,0,0
2a06:7280::/29,3175395,3175395,,0,0
2a06:72c0::/29,2750405,2750405,,0,0
2a06:7300::/29,690791,690791,,0,0
2a06:7340::/29,732800,732800,,0,0
2a06:7380::/29,2921044,2921044,,0,0
2a06:73c0::/29,783754,783754,,0,0
2a06:7400::/29,798549,798549,,0,0
2a06:7440::/29,3017382,3017382,,0,0
2a06:7480::/29,2921044,2921044,,0,0
2a06:74c0::/29,298795,298795,,0,0
